index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2021/11/28 20:22:01.023, 16.20 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:02.026, 16.22 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:03.029, 16.19 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:04.032, 16.20 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:05.035, 16.36 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:06.038, 16.30 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:07.041, 16.42 W, 495 MHz, 405 MHz, 495 MHz
0, 2021/11/28 20:22:08.044, 16.24 W, 495 MHz, 405 MHz, 495 MHz
0, 2021/11/28 20:22:09.047, 16.17 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:10.050, 16.10 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:11.054, 16.06 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:12.056, 16.11 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:13.059, 16.10 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:14.062, 16.18 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:15.065, 16.16 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:16.069, 16.12 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:17.072, 16.08 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:18.075, 16.11 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:19.078, 16.32 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:20.083, 16.28 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:21.086, 16.41 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:22.090, 16.28 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:23.094, 16.17 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:24.097, 16.35 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:25.103, 23.66 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:26.108, 23.67 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:27.111, 17.31 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:28.115, 16.75 W, 525 MHz, 405 MHz, 525 MHz
0, 2021/11/28 20:22:29.120, 16.27 W, 480 MHz, 405 MHz, 480 MHz
0, 2021/11/28 20:22:30.123, 16.26 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:31.126, 16.21 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:32.129, 16.88 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:33.132, 16.24 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:34.136, 16.26 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:35.139, 16.20 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:36.142, 23.87 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:37.144, 23.86 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:38.146, 16.23 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:39.149, 16.26 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:40.156, 16.83 W, 540 MHz, 405 MHz, 540 MHz
0, 2021/11/28 20:22:41.160, 17.14 W, 810 MHz, 810 MHz, 810 MHz
0, 2021/11/28 20:22:42.163, 17.62 W, 480 MHz, 405 MHz, 480 MHz
0, 2021/11/28 20:22:43.168, 16.71 W, 390 MHz, 405 MHz, 390 MHz
0, 2021/11/28 20:22:44.172, 16.32 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:45.175, 16.22 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:46.181, 16.65 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:47.187, 16.77 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:48.192, 16.32 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:49.194, 16.21 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:22:50.197, 16.48 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:51.201, 16.43 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:22:52.206, 23.84 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:53.208, 23.77 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:54.210, 16.75 W, 405 MHz, 405 MHz, 405 MHz
0, 2021/11/28 20:22:55.214, 23.39 W, 510 MHz, 405 MHz, 510 MHz
0, 2021/11/28 20:22:56.219, 17.82 W, 750 MHz, 810 MHz, 750 MHz
0, 2021/11/28 20:22:57.226, 24.89 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:58.228, 23.78 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:22:59.230, 23.83 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:23:00.234, 20.41 W, 480 MHz, 405 MHz, 480 MHz
0, 2021/11/28 20:23:01.239, 16.28 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:02.242, 16.69 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:03.245, 25.55 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:23:04.247, 25.38 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:23:05.249, 16.57 W, 570 MHz, 405 MHz, 570 MHz
0, 2021/11/28 20:23:06.254, 16.59 W, 420 MHz, 405 MHz, 420 MHz
0, 2021/11/28 20:23:07.257, 16.47 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:08.264, 16.49 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:09.273, 16.59 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:10.285, 23.98 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:23:11.288, 24.00 W, 1530 MHz, 4001 MHz, 1530 MHz
0, 2021/11/28 20:23:12.290, 16.30 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:13.293, 16.60 W, 555 MHz, 405 MHz, 555 MHz
0, 2021/11/28 20:23:14.296, 16.30 W, 555 MHz, 405 MHz, 555 MHz
0, 2021/11/28 20:23:15.299, 16.46 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:16.308, 16.24 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:17.311, 16.24 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:18.314, 16.28 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:19.319, 16.33 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:20.325, 16.20 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:21.328, 16.18 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:22.331, 16.51 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:23.340, 16.28 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:24.342, 16.27 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:25.348, 16.37 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:26.352, 16.62 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:27.361, 16.41 W, 375 MHz, 405 MHz, 375 MHz
0, 2021/11/28 20:23:28.364, 16.38 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:29.367, 16.54 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:30.371, 16.21 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:31.382, 16.21 W, 300 MHz, 405 MHz, 300 MHz
0, 2021/11/28 20:23:32.384, 16.24 W, 300 MHz, 405 MHz, 300 MHz
